상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
21706657,동경부동산,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,50,제주특별자치도,50130,서귀포시,5013053000,중앙동,5013010100,서귀동,5.01E+18,1,대지,290,5,제주특별자치도 서귀포시 서귀동 290-5,5.01E+11,제주특별자치도 서귀포시 중앙로,70,1,5.01E+24,동문레코드,제주특별자치도 서귀포시 중앙로 70-1,697843,63591,,,,126.5615565,33.2508772
17174231,에프케이알레그리아호텔제주,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,50,제주특별자치도,50130,서귀포시,5013054000,천지동,5013010100,서귀동,5.01E+18,1,대지,319,2,제주특별자치도 서귀포시 서귀동 319-2,5.01E+11,제주특별자치도 서귀포시 중앙로47번길,25,,5.01E+24,비스타케이호텔(천지연),제주특별자치도 서귀포시 중앙로47번길 25,697844,63592,,,,126.5590147,33.24817899
17173846,아빠가닭튀기는집,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,50,제주특별자치도,50110,제주시,5011025000,한림읍,5011025024,한림읍,5.01E+18,1,대지,1199,3,제주특별자치도 제주시 한림읍 한림리 1199-3,5.01E+11,제주특별자치도 제주시 한림읍 한림중앙로,26,,5.01E+24,,제주특별자치도 제주시 한림읍 한림중앙로 26,695932,63032,,,,126.26486,33.41236333
20823993,현임옥헤어샵,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,50,제주특별자치도,50110,제주시,5011066000,노형동,5011012200,노형동,5.01E+18,1,대지,2613,7,제주특별자치도 제주시 노형동 2613-7,5.01E+11,제주특별자치도 제주시 정존11길,29,,5.01E+24,,제주특별자치도 제주시 정존11길 29,690805,63102,,,,126.4748872,33.48597795
15517264,금실홈패션,,D,소매,D07,가정/주방/인테리어,D07A09,홈패션,G47411,가정용 직물제품 소매업,50,제주특별자치도,50110,제주시,5011057000,용담1동,5011010800,용담일동,5.01E+18,1,대지,135,9,제주특별자치도 제주시 용담일동 135-9,5.01E+11,제주특별자치도 제주시 서문로4길,13,2,5.01E+24,서문공설시장,제주특별자치도 제주시 서문로4길 13-2,690819,63154,,,,126.5179557,33.51133884
17175305,숙성1퍼센트,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,50,제주특별자치도,50110,제주시,5011066000,노형동,5011012200,노형동,5.01E+18,1,대지,3785,3,제주특별자치도 제주시 노형동 3785-3,5.01E+11,제주특별자치도 제주시 노형10길,25,,5.01E+24,,제주특별자치도 제주시 노형10길 25,690805,63083,,,,126.4798935,33.48333476
21633032,정아기획인쇄사,,F,생활서비스,F12,광고/인쇄,F12A01,인쇄종합,C18119,기타 인쇄업,50,제주특별자치도,50130,서귀포시,5013054000,천지동,5013010100,서귀동,5.01E+18,1,대지,308,21,제주특별자치도 서귀포시 서귀동 308-21,5.01E+11,제주특별자치도 서귀포시 서문로29번길,3,,5.01E+24,명품치킨,제주특별자치도 서귀포시 서문로29번길 3,697844,63592,,1,,126.5590471,33.25012685
28510791,해녀촌식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,50,제주특별자치도,50130,서귀포시,5013025000,대정읍,5013025026,대정읍,5.01E+18,1,대지,70,13,제주특별자치도 서귀포시 대정읍 가파리 70-13,5.01E+11,제주특별자치도 서귀포시 대정읍 가파로,76,,5.01E+24,케이마트가파점,제주특별자치도 서귀포시 대정읍 가파로 76,699936,63514,,,,126.2741257,33.16652069
23325473,죠스떡볶이,탑동점,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,50,제주특별자치도,50110,제주시,5011059000,건입동,5011010700,건입동,5.01E+18,1,대지,1442,,제주특별자치도 제주시 건입동 1442,5.01E+11,제주특별자치도 제주시 임항로,17,,5.01E+24,,제주특별자치도 제주시 임항로 17,690801,63276,,,,126.5267972,33.51673654
24046270,초롱꽃집,,D,소매,D02,선물/팬시/기념품,D02A02,꽃집/꽃배달,G47851,화초 및 산식물 소매업,50,제주특별자치도,50110,제주시,5011060000,화북동,5011011100,화북일동,5.01E+18,1,대지,4635,1,제주특별자치도 제주시 화북일동 4635-1,5.01E+11,제주특별자치도 제주시 일주동로,123,,5.01E+24,,제주특별자치도 제주시 일주동로 123,690061,63293,,,,126.5592654,33.51638818
