,name,dong,lon,lat,naver_keyword,naver_map_url
11,가르텐비어,노형동,33.48901964,126.4766308,제주노형동가르텐비어,https://m.place.naver.com/restaurant/34016987/review/visitor
76,별밤,노형동,33.4872814,126.4782429,제주노형동별밤,https://m.place.naver.com/restaurant/31049651/review/visitor
86,장독대찻집,연동,33.48765054,126.4929557,제주연동장독대찻집,https://m.place.naver.com/restaurant/1650501767/review/visitor
109,엉덩물물회,연동,33.49096568,126.4949642,제주연동엉덩물물회,https://m.place.naver.com/restaurant/16843111/review/visitor
141,BHC치킨,노형동,33.48612031,126.4747341,제주노형동BHC치킨,https://m.place.naver.com/restaurant/12989528/review/visitor
162,다희연포르테,노형동,33.48534832,126.4830862,제주노형동다희연포르테,https://m.place.naver.com/restaurant/1129439171/review/visitor
173,커피마마,연동,33.4891917,126.4906909,제주연동커피마마,https://m.place.naver.com/restaurant/460063916/review/visitor
179,물항과허벅,연동,33.48928961,126.486891,제주연동물항과허벅,https://m.place.naver.com/restaurant/1876831326/review/visitor
231,녹두네,노형동,33.48505337,126.4847698,제주노형동녹두네,https://m.place.naver.com/restaurant/16801064/review/visitor
234,리치망고,연동,33.48022214,126.4892973,제주연동리치망고,https://m.place.naver.com/restaurant/36480244/review/visitor
240,올리브와뽀빠이,연동,33.48923622,126.4899047,제주연동올리브와뽀빠이,https://m.place.naver.com/restaurant/16837978/review/visitor
261,가품육개장,노형동,33.48379473,126.4850607,제주노형동가품육개장,https://m.place.naver.com/restaurant/11857980/review/visitor
263,골프존클럽하우스,노형동,33.48971838,126.4748002,제주노형동골프존클럽하우스,https://m.place.naver.com/restaurant/1511908490/review/visitor
266,연정,연동,33.48377121,126.4868256,제주연동연정,https://m.place.naver.com/restaurant/16834960/review/visitor
